RateRatio,CPIRatio,GDPRatio,PMIRatio,UnemployRatio,US-M2,Gold/Euro,US International Trade,NASDAQ,US TREASURY EURODOLLAR SPREAD,Crude Oil Future,Baltic Dry Index,Copper Future,Housing Starts,FTSE EUROTOP 100 index,Date,lagSpot
-0.62676635,0.2586069,1.246208584,1.059771935,0.061372134,-0.459564306,-1.038847788,0.963181878,0.48714315,-1.04033057,-0.579198833,3.008069744,-0.318354244,-0.546545877,0.074523782,2021/10/6,1.1554
-0.62676635,0.2586069,1.246208584,1.059771935,0.061372134,-0.459564306,-1.113904862,0.963181878,0.438914054,-1.11413487,-0.485590789,2.76042388,-0.195113957,-0.546545877,0.255645815,2021/10/5,1.156
-0.62676635,0.2586069,1.246208584,1.059771935,0.061372134,-0.459564306,-1.059852207,0.963181878,0.312573107,-1.067729814,-0.567341814,2.612668785,-0.073243006,-0.546545877,0.104892455,2021/10/4,1.16
-0.62676635,0.2586069,1.246208584,1.059771935,0.061372134,-0.459564306,-1.107545726,0.963181878,0.533038042,-1.10448725,-0.675927146,2.54503441,-0.218392677,-0.546545877,0.131841456,2021/10/1,1.1625
-0.165453891,0.299810378,1.375830899,-0.209765927,1.071939493,-0.813435377,-1.114001212,0.002561392,0.449363774,-1.12204592,-0.728971704,2.508615901,-0.501845338,-0.582931125,0.182268591,2021/9/30,1.1598
-0.165453891,0.299810378,1.375830899,-0.209765927,1.071939493,-0.813435377,-1.393128737,0.002561392,0.494602682,-1.390056829,-0.741452777,2.539831766,-0.200591303,-0.582931125,0.216009294,2021/9/29,1.1585
-0.165453891,0.299810378,1.375830899,-0.209765927,1.071939493,-0.813435377,-1.435233924,0.002561392,0.518859973,-1.435497123,-0.71274631,2.295307489,-0.077351016,-0.582931125,0.198578071,2021/9/28,1.1599
-0.165453891,0.299810378,1.375830899,-0.209765927,1.071939493,-0.813435377,-1.318553416,0.002561392,0.818719687,-1.316156053,-0.702761452,2.040377923,0.055474627,-0.582931125,0.510873119,2021/9/27,1.1685
-0.165453891,0.299810378,1.375830899,-0.209765927,1.071939493,-0.813435377,-1.340810392,0.002561392,0.873783498,-1.341529296,-0.794497335,1.964419318,0.039042589,-0.582931125,0.527183421,2021/9/24,1.1698
-0.165453891,0.299810378,1.375830899,-0.209765927,1.071939493,-0.813435377,-1.430223696,0.002561392,0.877003211,-1.428550836,-0.836932982,1.97170302,-0.115692438,-0.582931125,0.672018551,2021/9/23,1.1718
-0.165453891,0.299810378,1.375830899,-0.209765927,1.071939493,-0.813435377,-1.159575019,0.002561392,0.7669188,-1.160154022,-0.90370672,1.877014895,-0.056810968,-0.582931125,0.469813975,2021/9/22,1.174
-0.165453891,0.299810378,1.375830899,-0.209765927,1.071939493,-0.813435377,-1.154661142,0.002561392,0.66033959,-1.155137259,-1.007923676,1.720935569,-0.397775762,-0.582931125,0.366816939,2021/9/21,1.169
-0.165453891,0.299810378,1.375830899,-0.209765927,1.071939493,-0.813435377,-1.238486114,0.002561392,0.637319887,-1.239071561,-1.024773124,1.610639512,-0.427901165,-0.582931125,0.204645019,2021/9/20,1.1727
-0.165453891,0.299810378,1.375830899,-0.209765927,1.071939493,-0.813435377,-1.318168014,0.002561392,0.87114043,-1.323005863,-0.919932114,1.580464176,-0.075981679,-0.582931125,0.444298206,2021/9/17,1.1729
-0.165453891,0.299810378,1.375830899,-0.209765927,1.071939493,-0.813435377,-1.375014835,0.002561392,0.968869504,-1.38060216,-0.879992682,1.518032446,0.014394532,-0.582931125,0.630289223,2021/9/16,1.1729
